"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
68,"1","2026-02-13T03:12:08.912244Z",68,113.788,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-13T03:12:08.912280Z"
69,"1","2026-02-13T03:12:30.688717Z",69,21.226,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-13T03:12:30.688765Z"
70,"1","2026-02-13T03:12:38.746316Z",70,7.52,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-13T03:12:38.746353Z"
71,"1","2026-02-13T03:12:54.153166Z",71,14.904,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-13T03:12:54.153203Z"
72,"1","2026-02-13T03:13:02.892710Z",72,8.194,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-13T03:13:02.892745Z"
73,"1","2026-02-13T12:42:02.404376Z",73,34139.037,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-13T12:42:02.404419Z"
74,"1","2026-02-13T12:42:05.938916Z",74,3.005,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-13T12:42:05.938947Z"
75,"1","2026-02-13T12:42:11.534910Z",75,14.097999999999999,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-13T12:42:24.718017Z"
76,"1","2026-02-13T12:42:38.640241Z",76,5.608,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-13T12:42:38.640270Z"
77,"1","2026-02-13T12:42:43.579859Z",77,4.469,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-13T12:42:43.579890Z"
78,"1","2026-02-13T12:42:49.599979Z",78,5.602,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-13T12:42:49.600007Z"
79,"1","2026-02-13T12:43:00.302820Z",79,7.191,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-13T12:43:00.302850Z"
80,"1","2026-02-13T12:43:06.418309Z",80,5.687,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-13T12:43:06.418345Z"
81,"1","2026-02-13T12:43:17.302267Z",81,10.446,"A strange experience overall. A polarizing experience for sure.","Positive","2026-02-13T12:43:17.302317Z"
82,"1","2026-02-13T12:43:27.173074Z",82,9.477,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-13T12:43:27.173099Z"
83,"1","2026-02-13T12:43:40.954841Z",83,2.631,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-13T12:43:40.954878Z"
84,"1","2026-02-13T12:43:49.496337Z",84,8.015,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-13T12:43:49.496375Z"
85,"1","2026-02-13T12:43:59.827980Z",85,9.854,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-13T12:43:59.828012Z"
86,"1","2026-02-13T12:44:03.675719Z",86,3.411,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-13T12:44:03.675743Z"
87,"1","2026-02-13T12:44:10.970234Z",87,6.876,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-13T12:44:10.970276Z"
88,"1","2026-02-13T12:44:16.722047Z",88,5.228,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-13T12:44:16.722085Z"
89,"1","2026-02-13T12:44:23.180710Z",89,5.997,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-13T12:44:23.180749Z"
90,"1","2026-02-13T12:44:32.432489Z",90,8.772,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-13T12:44:32.432528Z"
91,"1","2026-02-13T12:44:35.317031Z",91,2.364,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-13T12:44:35.317075Z"
92,"1","2026-02-13T12:44:42.225074Z",92,6.45,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-13T12:44:42.225110Z"
93,"1","2026-02-13T12:44:45.596827Z",93,2.899,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-13T12:44:45.596864Z"
94,"1","2026-02-13T12:44:58.676436Z",94,5.283,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-13T12:44:58.676483Z"
95,"1","2026-02-13T12:45:14.511402Z",95,15.376,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-13T12:45:14.511434Z"
96,"1","2026-02-13T12:45:19.233736Z",96,4.306,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-13T12:45:19.233767Z"
97,"1","2026-02-13T12:46:46.631200Z",97,87.001,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-13T12:46:46.631233Z"
98,"1","2026-02-13T12:46:53.548634Z",98,6.403,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-13T12:46:53.548677Z"
99,"1","2026-02-13T12:47:04.221381Z",99,10.21,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-13T12:47:04.221405Z"
100,"1","2026-02-13T12:47:07.447817Z",100,2.816,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-13T12:47:07.447853Z"
