title,year,budget_millions,loss_millions,Plot,Metascore,imdbRating,Director,Language,omdb_year,match_status,Loss_Category
Amsterdam,2022,80.0,108.0,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",49,6.1,David O. Russell,"English, French, German, Portuguese",2022,Verified,Catastrophic
Around the World in 80 Days,2004,110.0,74.0,"To win a bet, an eccentric British inventor embarks, with his Chinese valet and an aspiring French artist, on a trip full of adventures and dangers around the world in exactly 80 days.",49,5.9,Frank Coraci,"English, Cantonese, French, German, Hindi, Turkish",2004,Verified,Severe
The Astronaut's Wife,1999,75.0,65.0,An astronaut acts strangely after a space mission.,38,5.4,Rand Ravich,English,1999,Verified,Severe
Ballistic: Ecks vs. Sever,2002,70.0,70.1,"Tasked with destroying each other, an FBI agent and a rogue DIA agent soon discover that a much bigger enemy is at work.",19,3.7,Wych Kaosayananda,English,2002,Verified,Severe
Battlefield Earth,2000,88.0,73.3,"It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",9,2.5,Roger Christian,English,2000,Verified,Severe
Battleship,2012,214.5,104.0,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,41,5.8,Peter Berg,"English, Japanese",2012,Verified,Catastrophic
Beloved,1998,80.0,68.5,A slave is visited by the spirit of a mysterious young woman.,57,6.0,Jonathan Demme,"English, Haitian",1998,Verified,Severe
Ben-Hur,2016,100.0,97.5,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",90,8.1,William Wyler,English,1959,Mismatch,Severe
The BFG,2016,140.0,85.5,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",66,6.3,Steven Spielberg,"English, Hindi",2016,Verified,Severe
Black Adam,2022,225.0,75.0,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",41,6.1,Jaume Collet-Serra,English,2022,Verified,Severe
Blackhat,2015,70.0,79.0,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,52,5.5,Michael Mann,"English, Mandarin, Spanish",2015,Verified,Severe
Blade Runner 2049,2017,167.5,80.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",81,8.0,Denis Villeneuve,English,2017,Verified,Severe
The Call of the Wild,2020,137.5,75.0,A sled dog struggles for survival in the wilds of the Yukon.,48,6.7,Chris Sanders,"English, French",2020,Verified,Severe
Cats,2019,95.0,92.3,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,32,2.8,Tom Hooper,English,2019,Verified,Severe
Chaos Walking,2021,100.0,112.0,Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,38,5.7,Doug Liman,English,2021,Verified,Catastrophic
Chill Factor,1999,52.0,64.0,"A new biological chemical weapon that explodes up to temperatures over fifty degrees Fahrenheit, falls into the hands of two men who try to make sure that it doesn't get stolen by a terrorist.",33,5.2,Hugh Johnson,English,1999,Verified,Severe
A Christmas Carol,2009,187.5,75.0,"Ebenezer Scrooge, a miserly old moneylender, is visited by three Christmas spirits on Christmas Eve. Scrooge embarks on a journey of self-redemption to mend his miserly ways",55,6.8,Robert Zemeckis,English,2009,Verified,Severe
The Chronicles of Riddick,2004,112.5,60.0,"The wanted criminal Richard Bruno Riddick arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",38,6.6,David Twohy,English,2004,Verified,Severe
Cowboys & Aliens,2011,163.0,69.0,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",50,6.0,Jon Favreau,"English, Apache languages",2011,Verified,Severe
Cutthroat Island,1995,98.0,105.0,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,37,5.7,Renny Harlin,"English, Spanish, Latin, French",1995,Verified,Catastrophic
Dark Phoenix,2019,200.0,106.0,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.",43,5.7,Simon Kinberg,"English, French",2019,Verified,Catastrophic
Deepwater Horizon,2016,115.0,86.5,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in history.",68,7.1,Peter Berg,English,2016,Verified,Severe
Devotion,2022,90.0,96.5,A pair of U.S. Navy fighter pilots risk their lives during the Korean War.,66,6.6,J.D. Dillard,"English, Korean",2022,Verified,Severe
Doctor Dolittle,1967,17.0,10.8,A doctor discovers that he can communicate with animals.,46,5.4,Betty Thomas,English,1998,Mismatch,Moderate
Dolittle,2020,175.0,75.0,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,26,5.6,Stephen Gaghan,"English, French",2020,Verified,Severe
Driven,2001,94.0,67.0,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,29,4.6,Renny Harlin,"English, German, Spanish",2001,Verified,Severe
Dudley Do-Right,1999,70.0,65.0,The inept Canadian Mountie Dudley Do-Right chases after villain Snidely Whiplash and woos girlfriend Nell Fenwick.,44,3.9,Hugh Wilson,English,1999,Verified,Severe
Evan Almighty,2007,175.0,87.0,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,37,5.4,Tom Shadyac,English,2007,Verified,Severe
The Fall of the Roman Empire,1964,18.4,14.3,"The death of Marcus Aurelius leads to a succession crisis, in which the deceased emperor's son, Commodus, demonstrates that he is unwilling to let anything undermine his claim to the Roman Empire.",,6.7,Anthony Mann,English,1964,Verified,Moderate
Fantastic Four,2015,122.5,90.0,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",40,5.7,Tim Story,English,2005,Mismatch,Severe
Fathers' Day,1997,85.0,67.0,A woman cons two old boyfriends into searching for her runaway son by convincing both that they are the boy's father.,43,5.3,Ivan Reitman,English,1997,Verified,Severe
Final Fantasy: The Spirits Within,2001,137.0,94.0,A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.,49,6.4,"Hironobu Sakaguchi, Motonori Sakakibara",English,2001,Verified,Severe
The Flash,2023,200.0,155.0,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",55,6.6,Andy Muschietti,English,2023,Verified,Catastrophic
Flushed Away,2006,149.0,109.0,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",74,6.6,"David Bowers, Sam Fell",English,2006,Verified,Catastrophic
Furiosa: A Mad Max Saga,2024,168.0,119.6,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",79,7.5,George Miller,"English, Romanian, Italian",2024,Verified,Catastrophic
Gemini Man,2019,138.0,111.1,An over-the-hill hitman faces off against a younger clone of himself.,38,5.7,Ang Lee,"English, French",2019,Verified,Catastrophic
Ghost in the Shell,2017,145.0,80.0,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",52,6.3,Rupert Sanders,"English, Japanese",2017,Verified,Severe
Gigli,2003,75.6,72.0,"Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.",18,2.7,Martin Brest,English,2003,Verified,Severe
Gods of Egypt,2016,140.0,83.0,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",25,5.4,Alex Proyas,English,2016,Verified,Severe
The Good Dinosaur,2015,187.5,85.0,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",66,6.7,Peter Sohn,English,2015,Verified,Severe
The Great Raid,2005,80.0,75.0,"Taking place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.",48,6.6,John Dahl,"English, Filipino, Tagalog, Japanese",2005,Verified,Severe
Green Lantern,2011,200.0,82.5,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",39,5.5,Martin Campbell,English,2011,Verified,Severe
Hard Rain,1998,70.0,60.0,The partner and nephew of an armored-truck driver tries to prevent three million dollars from being taken by a gang during a catastrophic flooding caused by a severe storm.,36,5.9,Mikael Salomon,English,1998,Verified,Severe
Hart's War,2002,82.5,62.7,"A law student becomes a lieutenant during World War II, is captured and asked to defend a black prisoner of war falsely accused of murder.",49,6.4,Gregory Hoblit,"English, German",2002,Verified,Severe
Haunted Mansion,2023,150.0,121.5,"A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts.",47,6.0,Justin Simien,"English, French, Spanish",2023,Verified,Catastrophic
Heaven's Gate,1980,44.0,40.5,"During the Johnson County War in 1890 Wyoming, a sheriff born into wealth does his best to protect immigrant farmers from rich cattle interests.",57,6.7,Michael Cimino,"English, Serbo-Croatian, Russian, French, Polish, German, Ukrainian",1980,Verified,Moderate
Home on the Range,2004,110.0,71.8,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.",50,5.4,"Will Finn, John Sanford","English, Mandarin",2004,Verified,Severe
How Do You Know,2010,100.0,104.0,"After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing ...",46,5.4,James L. Brooks,English,2010,Verified,Catastrophic
Hudson Hawk,1991,65.0,47.8,A cat burglar is forced to steal Da Vinci works of art for a world domination plot.,17,5.7,Michael Lehmann,"English, Italian",1991,Verified,Moderate
Hugo,2011,160.0,91.0,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",83,7.5,Martin Scorsese,English,2011,Verified,Severe
Inchon,1981,46.0,40.8,"During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.",,2.8,Terence Young,"English, Korean",1981,Verified,Moderate
Indiana Jones and the Dial of Destiny,2023,326.0,140.0,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,58,6.5,James Mangold,"English, German, Greek, Ancient (to 1453), Spanish, Italian",2023,Verified,Catastrophic
Instinct,1999,80.0,63.0,"When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle, is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him.",43,6.5,Jon Turteltaub,English,1999,Verified,Severe
The Invasion,2007,80.0,71.0,"As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.",45,5.9,Oliver Hirschbiegel,"English, Russian",2007,Verified,Severe
Ishtar,1987,53.0,40.6,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.",51,4.7,Elaine May,English,1987,Verified,Moderate
Jack Frost,1998,62.5,68.0,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",40,5.4,Troy Miller,English,1998,Verified,Severe
Jack the Giant Slayer,2013,192.5,103.0,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.",51,6.3,Bryan Singer,English,2013,Verified,Catastrophic
John Carter,2012,263.7,156.0,A war-weary former army captain is inexplicably transported to Mars and reluctantly becomes embroiled in a conflict of epic proportions.,51,6.6,Andrew Stanton,English,2012,Verified,Catastrophic
Joker: Folie à Deux,2024,195.0,144.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",45,5.2,Todd Phillips,English,2024,Verified,Catastrophic
Jungle Cruise,2021,200.0,150.0,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,50,6.5,Jaume Collet-Serra,"English, German, Spanish, Tupi, Italian, Portuguese, Latin, French",2021,Verified,Catastrophic
Jupiter Ascending,2015,175.0,107.5,A genetically engineered soldier informs a young woman of her extraordinary destiny.,40,5.3,"Lana Wachowski, Lilly Wachowski","English, Russian",2015,Verified,Catastrophic
K-19: The Widowmaker,2002,100.0,67.0,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",58,6.7,Kathryn Bigelow,"English, Russian",2002,Verified,Severe
King Arthur: Legend of the Sword,2017,175.0,132.6,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",41,6.7,Guy Ritchie,"English, Spanish",2017,Verified,Catastrophic
Krull,1983,27.0,33.5,"A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet, Krull.",45,6.1,Peter Yates,English,1983,Verified,Moderate
The Last Duel,2021,100.0,99.0,The Knight Jean de Carrouges must settle the dispute over his wife Marguerite by challenging his former friend to a duel to the death.,67,7.3,Ridley Scott,"English, German, French, Latin",2021,Verified,Severe
Lightyear,2022,200.0,114.0,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal the fuel source of his ship.",60,6.1,Angus MacLane,English,2022,Verified,Catastrophic
Lolita,1997,62.0,61.0,A middle-aged college professor becomes infatuated with a 14-year-old girl.,79,7.5,Stanley Kubrick,"English, French, Spanish, German",1962,Mismatch,Severe
The Lone Ranger,2013,237.5,175.0,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",37,6.4,Gore Verbinski,"English, North American Indian",2013,Verified,Catastrophic
The Man from U.N.C.L.E.,2015,75.0,80.0,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",56,7.2,Guy Ritchie,"English, Russian, German, Italian",2015,Verified,Severe
Mars Needs Moms,2011,150.0,122.0,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,49,5.4,Simon Wells,English,2011,Verified,Catastrophic
The Marvels,2023,270.0,218.0,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",50,5.5,Nia DaCosta,"English, Urdu",2023,Verified,Catastrophic
The Matrix Resurrections,2021,190.0,130.0,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",63,5.6,Lana Wachowski,"English, French, Spanish, Japanese",2021,Verified,Catastrophic
Missing Link,2019,102.3,101.3,"Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",68,6.7,Chris Butler,"English, Spanish, Tibetan",2019,Verified,Catastrophic
Monkeybone,2001,75.0,71.0,"In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",40,4.8,Henry Selick,English,2001,Verified,Severe
Monster Trucks,2016,125.0,115.55,A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,41,5.7,Chris Wedge,English,2016,Verified,Catastrophic
Moonfall,2022,138.0,138.0,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,41,5.2,Roland Emmerich,"English, Chinese, Spanish, French",2022,Verified,Catastrophic
Mortal Engines,2018,110.0,174.8,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",44,6.1,Christian Rivers,English,2018,Verified,Catastrophic
Mulan,2020,200.0,141.0,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",72,7.7,"Tony Bancroft, Barry Cook","English, Mandarin",1998,Mismatch,Catastrophic
The Mummy,2017,195.0,77.5,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",48,7.1,Stephen Sommers,"English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",1999,Mismatch,Severe
The New Mutants,2020,73.5,84.0,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",43,5.3,Josh Boone,"English, Portuguese, Latin",2020,Verified,Severe
The Nutcracker in 3D,2010,90.0,82.0,,,,,,0,Not Found,Severe
Onward,2020,187.5,130.0,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",61,7.4,Dan Scanlon,English,2020,Verified,Catastrophic
Osmosis Jones,2001,70.0,63.0,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",57,6.3,"Bobby Farrelly, Peter Farrelly",English,2001,Verified,Severe
Pan,2015,150.0,118.0,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny: to become the hero who will be forever known as Peter Pan.",36,5.7,Joe Wright,English,2015,Verified,Catastrophic
Peter Pan,2003,130.6,70.0,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",76,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","English, American Sign ",1953,Mismatch,Severe
Poseidon,2006,160.0,83.0,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.",50,5.7,Wolfgang Petersen,"English, Spanish",2006,Verified,Severe
The Postman,1997,80.0,70.0,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,29,6.1,Kevin Costner,English,1997,Verified,Severe
The Promise,2016,90.0,97.55,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",49,6.1,Terry George,"English, Armenian, German, French, Turkish",2016,Verified,Severe
R.I.P.D.,2013,142.0,92.0,"In the afterlife, Nick Walker, a detective who used to work for the Boston Police Department, is hired by a director of a group of deceased police officers to fight against the renegade ghosts.",25,5.6,Robert Schwentke,English,2013,Verified,Severe
Red Planet,2000,80.0,63.0,"Astronauts, and their robotic dog AMEE (Autonomous Mapping Evaluation and Evasion), search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",34,5.7,Antony Hoffman,English,2000,Verified,Severe
Rise of the Guardians,2012,145.0,87.0,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",58,7.2,Peter Ramsey,"English, French",2012,Verified,Severe
Robin Hood,2018,100.0,83.7,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",53,6.6,Ridley Scott,"English, French, Ukrainian",2010,Mismatch,Severe
Sahara,2005,160.0,78.4,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",41,6.1,Breck Eisner,"English, French, Arabic",2005,Verified,Severe
Seventh Son,2014,95.0,85.0,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",30,5.5,Sergei Bodrov,English,2014,Verified,Severe
Sinbad: Legend of the Seven Seas,2003,60.0,125.0,The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.,48,6.7,"Patrick Gilmore, Tim Johnson","English, Cantonese, Italian",2003,Verified,Catastrophic
Snake Eyes: G.I. Joe Origins,2021,99.0,88.0,,,,,,0,Not Found,Severe
Snow White,2025,270.0,115.0,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.,50,2.1,Marc Webb,"English, Italian, Turkish",2025,Verified,Catastrophic
Soldier,1998,67.5,60.0,"A soldier trained from birth is deemed obsolete and dumped on a waste planet where he is reluctantly taken in by a community of defenseless, stranded wayfarers.",,6.1,Paul W.S. Anderson,English,1998,Verified,Severe
Solo: A Star Wars Story,2018,250.0,99.5,"During an adventure in the criminal underworld, Han Solo meets his future co-pilot Chewbacca and Lando Calrissian years before joining the Rebel Alliance.",62,6.9,Ron Howard,English,2018,Verified,Severe
Son of the Mask,2005,100.0,70.0,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",20,2.3,Lawrence Guterman,English,2005,Verified,Severe
Soul,2020,150.0,134.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",83,8.0,"Pete Docter, Kemp Powers","English, Korean, Inuktitut",2020,Verified,Catastrophic
A Sound of Thunder,2005,80.0,74.0,"A single mistake in the past, by a time travel company in the future, has devastating and unforeseen consequences.",24,4.2,Peter Hyams,"English, Mandarin",2005,Verified,Severe
Space Jam: A New Legacy,2021,150.0,111.0,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with the Looney Tunes to win a basketball game.",36,4.5,Malcolm D. Lee,English,2021,Verified,Catastrophic
Speed Racer,2008,120.0,88.0,"Young driver, Speed Racer, aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.",37,6.1,"Lana Wachowski, Lilly Wachowski",English,2008,Verified,Severe
Sphere,1998,76.5,61.0,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,35,6.1,Barry Levinson,English,1998,Verified,Severe
Stealth,2005,135.0,96.0,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",35,5.1,Rob Cohen,"English, Korean, Russian, Spanish",2005,Verified,Severe
Strange World,2022,180.0,187.5,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,65,5.7,"Don Hall, Qui Nguyen",English,2022,Verified,Catastrophic
The Suicide Squad,2021,185.0,119.0,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",72,7.2,James Gunn,"English, Spanish, Japanese, Cantonese",2021,Verified,Catastrophic
Supernova,2000,90.0,83.0,A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.,19,4.9,"Walter Hill, Francis Ford Coppola, Jack Sholder",English,2000,Verified,Severe
Tenet,2020,200.0,75.0,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",69,7.3,Christopher Nolan,English,2020,Verified,Severe
Terminator: Dark Fate,2019,190.5,120.0,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",54,6.2,Tim Miller,"English, Spanish",2019,Verified,Catastrophic
Timeline,2003,80.0,66.6,"A group of archaeologists get embroiled in an adventure where they must travel back in time to 14th Century France, to save their professor before the French battle the English at Castlegard. If they fail, they won't be able to re...",29,5.6,Richard Donner,"English, French",2003,Verified,Severe
Titan A.E.,2000,82.5,100.0,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,48,6.6,"Don Bluth, Gary Goldman","English, Mandarin",2000,Verified,Catastrophic
Tomorrowland,2015,185.0,120.0,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",60,6.4,Brad Bird,"English, French, Japanese",2015,Verified,Catastrophic
Town & Country,2001,90.0,85.0,Two loving middle aged couples get caught in a series of marital misadventures over reasons of fidelity.,34,4.5,Peter Chelsom,English,2001,Verified,Severe
Transformers: The Last Knight,2017,238.5,100.0,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",27,5.2,Michael Bay,English,2017,Verified,Catastrophic
Treasure Planet,2002,140.0,85.0,"Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest.",60,7.2,"Ron Clements, John Musker",English,2002,Verified,Severe
Tron: Ares,2025,220.0,132.7,"A highly sophisticated program, Ares, is sent from the digital world into the real world on a dangerous mission.",48,6.3,Joachim Rønning,English,2025,Verified,Catastrophic
